date,open,high,low,close,volume
2024-08-26,224.878835,225.394526,222.032649,225.295349,30602200
2024-08-27,224.125132,226.951495,223.024340,226.138290,35934600
2024-08-28,226.029198,227.953107,223.807776,224.611069,38052200
2024-08-29,228.191139,230.987736,226.981258,227.883698,51906300
2024-08-30,228.280411,228.488661,225.592886,227.100281,52990800
2024-09-03,226.653985,227.100249,219.335203,220.921936,50190600
2024-09-04,219.821161,219.940161,215.675830,219.017883,43840200
2024-09-05,219.791393,223.609445,219.682305,220.535172,36615400
2024-09-06,222.092168,223.371475,217.946851,218.988144,48423000
2024-09-09,218.988128,219.434391,214.912223,219.077377,67180000
2024-09-10,217.103881,219.642642,214.932047,218.284012,51591000
2024-09-11,219.622824,221.239292,216.082433,220.812866,44587100
2024-09-12,220.654172,221.695464,217.996412,220.921936,37455600
2024-09-13,221.725217,222.181393,220.069073,220.654175,36766600
2024-09-16,214.743628,215.417995,212.145368,214.525467,59357400
2024-09-17,213.960181,215.100635,212.720551,214.991547,45519300
2024-09-18,215.745257,220.862454,215.735330,218.859207,59894900
2024-09-19,223.123527,227.913460,222.766513,226.971329,66781300
2024-09-20,228.062236,231.156349,225.731725,226.306915,318679900
2024-09-23,225.454041,227.546537,223.936734,224.591263,54146000
2024-09-24,226.753160,227.447365,223.857386,225.483780,43556100
2024-09-25,223.064024,225.404447,222.161585,224.492081,42308700
2024-09-26,225.414346,226.604388,223.540026,225.632523,36636700
2024-09-27,226.564754,227.615958,225.414374,225.900299,34026000
2024-09-30,228.131627,231.067078,227.744863,231.067078,54541900
2024-10-01,227.615958,227.744870,221.883909,224.333420,63285000
2024-10-02,224.016050,225.483768,221.169864,224.898666,32880600
2024-10-03,223.272265,224.928409,221.467371,223.797867,34044200
2024-10-04,226.009368,226.108545,222.270655,224.918503,37245100
2024-10-07,222.637608,223.817739,219.493907,219.850922,39505400
2024-10-08,222.439243,224.105298,221.397950,223.897049,31855700
2024-10-09,223.361545,227.844053,222.964869,227.635788,33591100
2024-10-10,225.890381,227.596114,225.285441,227.139923,28183500
2024-10-11,227.397775,227.506863,225.454028,225.662292,31759200
2024-10-14,226.802743,229.807605,226.703582,229.381180,39882100
2024-10-15,231.672035,235.519852,230.442316,231.910049,64751400
2024-10-16,229.678678,230.194354,227.933269,229.857178,34082200
2024-10-17,231.493517,231.910046,228.607669,230.224136,32993800
2024-10-18,234.220664,234.220664,232.068668,233.050461,46431500
2024-10-21,232.505061,234.885160,232.505061,234.518219,36254500
2024-10-22,231.949723,234.260396,230.670431,233.903381,38846600
2024-10-23,232.138138,233.189342,225.870560,228.845673,52287000
2024-10-24,228.072140,228.905183,226.515172,228.657257,31109500
2024-10-25,227.834121,231.285247,227.665533,229.490265,38802300
2024-10-28,231.384422,232.782713,230.620806,231.463745,36087100
2024-10-29,231.166243,232.386035,230.392715,231.731506,35417200
2024-10-30,230.680319,231.533185,227.645707,228.191147,47070900
2024-10-31,227.437442,227.923383,223.500375,224.035904,64370100
2024-11-01,219.136867,223.480536,218.442677,221.060776,65276700
2024-11-04,219.156716,220.941771,217.887336,220.168243,44944500
2024-11-05,219.959977,222.092135,219.305449,221.596283,28111300
2024-11-06,220.763287,224.194591,219.355069,220.872375,54561100
2024-11-07,222.766517,225.989556,222.707017,225.592865,42137700
2024-11-08,225.533308,227.012578,224.778789,225.324829,38328800
2024-11-11,223.378943,224.073897,219.904160,222.614487,42005600
2024-11-12,222.932188,223.964689,221.750760,222.614487,40398300
2024-11-13,222.396059,225.017038,221.155065,223.498062,48566200
2024-11-14,223.398788,227.221040,223.378928,226.575729,44923900
