date,open,high,low,close,volume
2026-03-30,360.439336,363.885363,354.842024,357.511200,44797000
2026-03-31,363.078622,371.394926,361.604615,368.675964,45244400
2026-04-01,371.982547,372.480529,366.713920,367.879181,29417200
2026-04-02,365.727893,372.131964,362.680246,371.952667,24099100
2026-04-06,371.982554,372.221606,368.008668,371.375031,16146600
2026-04-07,368.845273,370.946772,365.080530,370.787415,21443300
2026-04-08,383.426161,383.446070,369.910925,372.819122,33064800
2026-04-09,370.996533,371.992497,365.568518,371.564240,30435300
2026-04-10,371.474607,374.123875,368.536502,369.373108,28111100
2026-04-13,372.102053,382.987961,369.522510,382.818634,35745800
2026-04-14,386.354321,393.096986,384.959948,391.523346,37504500
2026-04-15,396.393628,412.697552,395.128765,409.560272,45063400
2026-04-16,418.165372,419.121519,410.476560,418.563782,41642400
2026-04-17,423.105393,429.838088,418.992057,421.083588,48568200
2026-04-20,419.450185,421.621379,414.619754,416.382629,27582200
2026-04-21,418.543837,425.455828,415.516129,422.448029,32048500
2026-04-22,424.469851,431.949550,421.960033,431.172699,29378200
2026-04-23,418.195296,421.950069,409.749511,414.071991,38308000
2026-04-24,415.287071,423.234874,414.121780,422.906189,27457400
2026-04-27,420.675223,425.386113,415.386657,423.105377,30867300
2026-04-28,422.856383,428.184796,420.197146,427.517487,30438100
2026-04-29,422.866337,425.097317,418.593674,422.746826,38288300
2026-04-30,409.151925,412.747370,396.403599,406.134155,70909400
2026-05-01,411.133878,415.426479,408.783417,412.767273,31372400
2026-05-04,409.878970,419.081666,409.141936,411.950562,28066500
2026-05-05,413.643704,415.097803,407.150001,409.719604,25700900
2026-05-06,406.353249,416.731205,403.474898,412.289185,30285900
2026-05-07,418.414376,426.252638,417.069850,419.071716,34942400
2026-05-08,415.705376,416.940362,412.329044,413.444519,33383800
2026-05-11,406.223770,411.024324,403.863341,410.994446,35657900
2026-05-12,412.807115,413.822988,404.998762,406.124176,38594200
2026-05-13,401.572657,404.670090,399.411402,403.574524,29667100
2026-05-14,402.847463,410.177742,399.261987,407.777466,27077500
2026-05-15,412.597924,426.441845,411.243428,420.217072,50771200
2026-05-18,414.938483,423.404176,413.932549,421.830566,32564100
2026-05-19,428.164870,430.953587,414.808990,415.735260,33018700
2026-05-20,412.498360,420.396346,409.639918,419.360535,27864000
2026-05-21,423.951889,425.538898,414.928867,418.302521,31393500
2026-05-22,418.751717,423.602571,415.547727,417.783539,22390300
2026-05-26,415.647533,418.981254,412.243937,415.248291,30398000
2026-05-27,410.237738,415.158468,408.810402,411.894623,28901500
2026-05-28,412.204028,428.682986,411.894613,426.187683,47250500
2026-05-29,431.737249,449.483840,431.547603,449.394012,79654400
2026-06-01,463.966584,465.443814,457.408921,459.654694,53628900
2026-06-02,446.040315,452.647871,439.602423,440.480774,37036800
2026-06-03,437.626189,439.562546,423.452858,426.537048,39037000
2026-06-04,434.991126,435.330484,425.608794,427.245697,26899500
