date,open,high,low,close,volume
2024-08-26,165.106913,166.267959,163.201607,164.888596,14190400
2024-08-27,164.571050,165.166465,163.201619,163.419922,11821900
2024-08-28,163.777158,164.332885,160.294021,161.603928,16407400
2024-08-29,163.052770,164.700072,159.023838,160.542130,19699800
2024-08-30,161.375658,162.407709,160.452781,162.129852,22123800
2024-09-03,160.482569,160.611579,155.282658,156.155930,38945300
2024-09-04,155.461299,157.783391,154.766658,155.252899,19353800
2024-09-05,155.104055,158.229947,154.786497,156.036865,18688700
2024-09-06,156.096416,156.622360,149.398064,149.765228,37912100
2024-09-09,151.543844,152.428205,146.287363,147.767929,39260500
2024-09-10,149.496900,150.311713,147.400266,147.718246,31118800
2024-09-11,148.970288,150.540281,146.585498,150.202438,29607700
2024-09-12,152.825722,153.839264,151.682997,153.710083,29621500
2024-09-13,154.445370,157.376695,154.226778,156.462524,29591200
2024-09-16,156.313452,157.247499,155.607958,157.058701,18379800
2024-09-17,158.012627,159.532934,157.376682,158.310730,20715600
2024-09-18,158.847294,159.483239,157.595281,158.797607,23677300
2024-09-19,162.672931,162.752411,160.317934,161.112869,26587700
2024-09-20,162.464239,162.692778,161.033359,162.553665,40896400
2024-09-23,163.308854,164.441632,160.645824,160.824692,24150900
2024-09-24,161.997219,162.186018,159.672047,161.261902,23332100
2024-09-25,160.447102,161.778610,160.278181,160.466980,18869200
2024-09-26,162.603351,163.040566,161.251966,161.699112,20319300
2024-09-27,161.778615,164.650306,161.599762,162.911392,21101300
2024-09-30,162.285376,165.097434,162.225743,164.799347,20413900
2024-10-01,166.627707,168.088396,163.537408,165.932144,28338100
2024-10-02,165.365761,166.458799,163.686464,164.809311,17760200
2024-10-03,163.368499,165.584369,162.881598,164.809311,15073100
2024-10-04,166.995359,167.164280,164.431701,166.001694,19047400
2024-10-07,166.657503,167.412683,161.718986,161.947525,22463100
2024-10-08,162.901454,163.686442,161.838225,163.338669,23072700
2024-10-09,162.414564,163.795758,158.728075,160.834641,31181800
2024-10-10,159.850896,162.036972,159.383873,161.053238,14144100
2024-10-11,161.102933,162.861710,160.218572,162.205902,15344300
2024-10-14,162.603363,165.176952,162.364878,163.915009,19016100
2024-10-15,164.739731,166.617757,163.587091,164.411835,20247200
2024-10-16,163.487725,164.749684,162.702736,164.113739,16406000
2024-10-17,164.680092,165.316037,161.728906,161.897827,21453400
2024-10-18,162.156227,163.666602,162.046923,162.384766,19757700
2024-10-21,161.917724,163.457908,161.589813,163.030640,20946500
2024-10-22,161.947552,164.719886,161.947552,164.093872,16568100
2024-10-23,163.716263,164.769560,160.904188,161.748810,18280500
