date,open,high,low,close,volume
2024-08-26,218.750000,219.089996,211.009995,213.210007,59301200
2024-08-27,213.250000,215.660004,206.940002,209.210007,62821400
2024-08-28,209.720001,211.839996,202.589996,205.750000,64116400
2024-08-29,209.800003,214.889999,205.970001,206.279999,62308800
2024-08-30,208.630005,214.570007,207.029999,214.110001,63370600
2024-09-03,215.259995,219.899994,209.639999,210.600006,76714200
2024-09-04,210.589996,222.220001,210.570007,219.410004,80651800
2024-09-05,223.490005,235.000000,222.250000,230.169998,119355000
2024-09-06,232.600006,233.600006,210.509995,210.729996,112177000
2024-09-09,216.199997,219.869995,213.669998,216.270004,67443500
2024-09-10,220.070007,226.399994,218.639999,226.169998,78891100
2024-09-11,224.550003,228.470001,216.800003,228.130005,83548600
2024-09-12,224.660004,231.449997,223.830002,229.809998,71894900
2024-09-13,228.000000,232.669998,226.320007,230.289993,59515100
2024-09-16,229.300003,229.960007,223.529999,226.779999,54323000
2024-09-17,229.449997,234.570007,226.550003,227.869995,66761600
2024-09-18,230.089996,235.679993,226.880005,227.199997,78010200
2024-09-19,234.000000,244.240005,232.130005,243.919998,102694600
2024-09-20,241.520004,243.990005,235.919998,238.250000,99879100
2024-09-23,242.610001,250.000000,241.919998,250.000000,86927200
2024-09-24,254.080002,257.190002,249.050003,254.270004,88491000
2024-09-25,252.539993,257.049988,252.279999,257.019989,65034300
2024-09-26,260.600006,261.750000,251.529999,254.220001,67142200
2024-09-27,257.380005,260.700012,254.119995,260.459991,70988100
2024-09-30,259.040009,264.859985,255.770004,261.630005,80705700
2024-10-01,262.670013,263.980011,248.529999,258.019989,87397600
2024-10-02,247.550003,251.160004,241.500000,249.020004,93983900
2024-10-03,244.479996,249.789993,237.809998,240.660004,80729200
2024-10-04,246.690002,250.960007,244.580002,250.080002,86573200
2024-10-07,249.000000,249.830002,240.699997,240.830002,68113300
2024-10-08,243.559998,246.210007,240.559998,244.500000,56303200
2024-10-09,243.820007,247.429993,239.509995,241.050003,66289500
2024-10-10,241.809998,242.789993,232.339996,238.770004,83087100
2024-10-11,220.130005,223.339996,214.380005,217.800003,142628900
2024-10-14,220.130005,221.910004,213.740005,219.160004,86291900
2024-10-15,220.009995,224.259995,217.119995,219.570007,62988800
2024-10-16,221.399994,222.820007,218.929993,221.330002,49632800
2024-10-17,221.589996,222.080002,217.899994,220.889999,50791800
2024-10-18,220.710007,222.279999,219.229996,220.699997,49611900
2024-10-21,218.899994,220.479996,215.729996,218.850006,47329000
2024-10-22,217.309998,218.220001,215.259995,217.970001,43268700
2024-10-23,217.130005,218.720001,212.110001,213.649994,80938900
2024-10-24,244.679993,262.119995,242.649994,260.480011,204491900
2024-10-25,256.010010,269.489990,255.320007,269.190002,161611900
2024-10-28,270.000000,273.540009,262.239990,262.510010,107653600
2024-10-29,264.510010,264.980011,255.509995,259.519989,80521800
2024-10-30,258.040009,263.350006,255.820007,257.549988,53993600
2024-10-31,257.989990,259.750000,249.250000,249.850006,66575300
2024-11-01,252.039993,254.000000,246.630005,248.979996,57544800
2024-11-04,244.559998,248.899994,238.880005,242.839996,68802400
2024-11-05,247.339996,255.279999,246.210007,251.440002,69282500
2024-11-06,284.670013,289.589996,275.619995,288.529999,165228700
2024-11-07,288.890015,299.750000,285.519989,296.910004,117309200
2024-11-08,299.140015,328.709991,297.660004,321.220001,204782800
2024-11-11,346.299988,358.640015,336.000000,350.000000,210521600
